Home Team;Away Team;Home Goals;Away Goals;Time of first goal;Team that scored first goal;1st Half Stoppage Time;Total Time;Scoreless Time;E;T
PAS LAMIA 1964;PANATHINAIKOS;1;1;20;PAS LAMIA 1964;;20;;1;1
ARIS THESSALONIKI;OFI CRETE;1;1;18;OFI CRETE;;18;;1;2
OLYMPIACOS;ASTERAS TRIPOLIS;1;0;6;OLYMPIACOS;;6;;1;2
ATROMITOS ATHENS;AE LARISA;1;1;18;ATROMITOS ATHENS;;18;;1;2
PANIONIOS;VOLOS NFC;1;2;38;VOLOS NFC;;38;;1;2
PAOK ;PANETOLIKOS;2;1;27;PAOK;;27;;1;3
AEK ATHENS;XANTHI;1;2;67;XANTHI;1;68;;1;3
PANETOLIKOS;XANTHI;1;2;71;PANETOLIKOS;1;72;;1;3
PANATHINAIKOS;OFI CRETE;1;3;33;OFI CRETE;;33;;1;3
VOLOS NFC;ARIS THESSALONIKI;1;0;55;VOLOS NFC;1;56;;1;3
PAOK ;PANIONIOS;2;1;14;PAOK;;14;;1;3
AE LARISA;OLYMPIACOS;0;1;7;OLYMPIACOS;;7;;1;3
PAS LAMIA 1964;ATROMITOS ATHENS;2;2;11;PAS LAMIA 1964;;11;;1;3
ASTERAS TRIPOLIS;AEK ATHENS;2;3;3;ASTERAS TRIPOLIS;;3;;1;3
ATROMITOS ATHENS;PAOK;2;3;17;PAOK;;17;;1;3
OFI CRETE;PANETOLIKOS;3;1;54;OFI CRETE;1;55;;1;3
OLYMPIACOS ;VOLOS NFC;5;0;12;OLYMPIACOS;;12;;1;3
XANTHI;ASTERAS TRIPOLIS;2;1;19;XANTHI;;19;;1;3
PANIONIOS;AE LARISA;1;0;56;PANIONIOS;0;56;;1;4
AEK ATHENS;PAS LAMIA 1964;2;0;37;AEK ATHENS;;37;;1;4
ARIS THESSALONIKI;PANATHINAIKOS;4;0;20;ARIS THESSALONIKI;;20;;1;4
VOLOS NFC;OFI CRETE;1;0;75;VOLOS NFC;2;77;;1;4
ASTERAS TRIPOLIS;ATROMITOS ATHENS;2;1;3;ASTERAS TRIPOLIS;;3;;1;4
PANETOLIKOS;AEK ATHENS;0;1;68;AEK ATHENS;1;69;;1;4
AE LARISA;XANTHI;3;0;35;AE LARISA;;35;;1;4
PAOK ;ARIS THESSALONIKI;2;2;4;ARIS THESSALONIKI;;4;;1;4
PAS LAMIA 1964;PANIONIOS;1;1;69;PAS LAMIA 1964;1;70;;1;4
PANATHINAIKOS;OLYMPIACOS;1;1;36;OLYMPIACOS;;36;;1;5
ARIS THESSALONIKI;AE LARISA;2;3;11;ARIS THESSALONIKI;;11;;1;5
ATROMITOS ATHENS;PANETOLIKOS;2;0;3;ATROMITOS ATHENS;;3;;1;5
OLYMPIACOS;PAS LAMIA 1964;2;0;62;OLYMPIACOS;1;63;;1;5
OFI CRETE;ASTERAS TRIPOLIS;3;1;51;ASTERAS TRIPOLIS;0;51;;1;5
XANTHI;VOLOS NFC;3;1;40;XANTHI;;40;;1;5
PANIONIOS;PANATHINAIKOS;0;1;20;PANATHINAIKOS;;20;;1;5
AEK ATHENS;PAOK;2;2;16;PAOK;;16;;1;5
PANATHINAIKOS;XANTHI;0;1;95;XANTHI;1;96;;1;5
AE LARISA;AEK ATHENS;0;0;-1;NG;;-1;94;1;5
VOLOS NFC;ATROMITOS ATHENS;2;3;7;VOLOS NFC;;7;;1;6
OFI CRETE;PANIONIOS;4;1;9;PANIONIOS;;9;;1;6
ASTERAS TRIPOLIS;PAOK;1;2;33;PAOK;;33;;1;6
ARIS THESSALONIKI;OLYMPIACOS;1;2;7;ARIS THESSALONIKI;;7;;1;6
PAS LAMIA 1964;PANETOLIKOS;0;0;-1;NG;;-1;93;1;6
OLYMPIACOS;OFI CRETE;2;1;11;OLYMPIACOS;;11;;1;6
PANETOLIKOS;AE LARISA;2;2;28;AE LARISA;;28;;1;6
PANIONIOS;ASTERAS TRIPOLIS;0;1;44;ASTERAS TRIPOLIS;;44;;1;6
XANTHI;ARIS THESSALONIKI;0;1;3;ARIS THESSALONIKI;;3;;1;6
PAOK ;PAS LAMIA 1964;3;0;2;PAOK;;2;;1;6
AEK ATHENS;VOLOS NFC;3;2;24;VOLOS NFC;;24;;1;7
ATROMITOS ATHENS;PANATHINAIKOS;0;1;43;PANATHINAIKOS;;43;;1;7
OFI CRETE;XANTHI;2;0;47;OFI CRETE;1;48;;1;7
VOLOS NFC;PAOK;0;2;30;PAOK;;30;;1;7
PANATHINAIKOS;AE LARISA;1;2;1;AE LARISA;;1;;1;7
ATROMITOS ATHENS;PANIONIOS;4;0;17;ATROMITOS ATHENS;;17;;1;7
ARIS THESSALONIKI;PANETOLIKOS;2;0;27;ARIS THESSALONIKI;;27;;1;7
OLYMPIACOS;AEK ATHENS;2;0;9;OLYMPIACOS;;9;;1;8
ASTERAS TRIPOLIS;PAS LAMIA 1964;4;1;21;ASTERAS TRIPOLIS;;21;;1;8
PANIONIOS;ARIS THESSALONIKI;1;1;66;PANIONIOS;2;68;;1;8
XANTHI;OLYMPIACOS;0;0;-1;NG;;-1;95;1;8
AE LARISA;OFI CRETE;3;2;3;OFI CRETE;;3;;1;8
PANETOLIKOS;ASTERAS TRIPOLIS;1;1;18;PANETOLIKOS;;18;;1;8
AEK ATHENS;ATROMITOS ATHENS;3;2;20;ATROMITOS ATHENS;;20;;1;8
PAOK ;PANATHINAIKOS;2;2;44;PANATHINAIKOS;;44;;1;8
PAS LAMIA 1964;VOLOS NFC;1;0;80;PAS LAMIA 1964;2;82;;1;8
VOLOS NFC;PANETOLIKOS;3;2;39;PANETOLIKOS;;39;;1;9
OFI CRETE;PAOK;0;1;56;PAOK;0;56;;1;9
ARIS THESSALONIKI;ASTERAS TRIPOLIS;2;1;5;ARIS THESSALONIKI;;5;;1;9
XANTHI;PANIONIOS;1;2;53;PANIONIOS;2;55;;1;9
OLYMPIACOS;ATROMITOS ATHENS;2;0;60;OLYMPIACOS;0;60;;1;9
PANATHINAIKOS;AEK ATHENS;3;2;18;AEK ATHENS;;18;;1;9
AE LARISA;PAS LAMIA 1964;0;3;39;PAS LAMIA 1964;;39;;1;9
PANIONIOS;OLYMPIACOS;1;1;55;OLYMPIACOS;1;56;;1;9
PAS LAMIA 1964;XANTHI;1;0;54;PAS LAMIA 1964;1;55;;1;9
ATROMITOS ATHENS;OFI CRETE;2;1;3;ATROMITOS ATHENS;;3;;1;10
ASTERAS TRIPOLIS;VOLOS NFC;0;0;-1;NG;;-1;96;1;10
PAOK ;AE LARISA;1;0;16;PAOK;;16;;1;10
PANETOLIKOS;PANATHINAIKOS;0;0;-1;NG;;-1;94;1;10
AEK ATHENS;ARIS THESSALONIKI;1;1;65;ARIS THESSALONIKI;1;66;;1;10
PANIONIOS;PANETOLIKOS;3;0;16;PANIONIOS;;16;;1;11
AE LARISA;VOLOS NFC;2;1;38;VOLOS NFC;;38;;1;11
OFI CRETE;AEK ATHENS;1;0;52;OFI CRETE;1;53;;1;11
PANATHINAIKOS;ASTERAS TRIPOLIS;1;0;8;PANATHINAIKOS;;8;;1;11
XANTHI;ATROMITOS ATHENS;1;0;60;XANTHI;1;61;;1;11
ARIS THESSALONIKI;PAS LAMIA 1964;1;1;16;PAS LAMIA 1964;;16;;1;11
OLYMPIACOS;PAOK;1;1;29;PAOK;;29;;1;11
PAOK ;XANTHI;2;0;80;PAOK;1;81;;1;11
AEK ATHENS;PANIONIOS;5;0;17;AEK ATHENS;;17;;1;11
PANETOLIKOS;OLYMPIACOS;0;3;6;OLYMPIACOS;;6;;1;12
PAS LAMIA 1964;OFI CRETE;2;1;11;OFI CRETE;;11;;1;12
ASTERAS TRIPOLIS;AE LARISA;1;1;19;ASTERAS TRIPOLIS;;19;;1;12
ATROMITOS ATHENS;ARIS THESSALONIKI;2;2;24;ATROMITOS ATHENS;;24;;1;12
VOLOS NFC;PANATHINAIKOS;1;1;8;PANATHINAIKOS;;8;;1;12
OFI CRETE;ARIS THESSALONIKI;3;1;12;ARIS THESSALONIKI;;12;;1;13
PANATHINAIKOS;PAS LAMIA 1964;2;0;44;PANATHINAIKOS;;44;;1;13
XANTHI;AEK ATHENS;0;1;84;AEK ATHENS;0;84;;1;13
AE LARISA;ATROMITOS ATHENS;1;2;5;ATROMITOS ATHENS;;5;;1;13
VOLOS NFC;PANIONIOS;2;1;27;PANIONIOS;;27;;1;13
PANETOLIKOS;PAOK;0;3;7;PAOK;;7;;1;13
ASTERAS TRIPOLIS;OLYMPIACOS;0;5;5;OLYMPIACOS;;5;;1;14
XANTHI;PANETOLIKOS;0;0;-1;NG;;-1;95;1;14
OFI CRETE;PANATHINAIKOS;1;1;67;OFI CRETE;2;69;;1;14
OLYMPIACOS;AE LARISA;4;1;9;OLYMPIACOS;;9;;1;14
ATROMITOS ATHENS;PAS LAMIA 1964;1;1;72;PAS LAMIA 1964;1;73;;1;14
AEK ATHENS;ASTERAS TRIPOLIS;2;1;6;AEK ATHENS;;6;;1;14
ARIS THESSALONIKI;VOLOS NFC;4;0;12;ARIS THESSALONIKI;;12;;1;14
PANIONIOS;PAOK;0;2;48;PAOK;2;50;;1;14
ASTERAS TRIPOLIS;XANTHI;5;0;13;ASTERAS TRIPOLIS;;13;;1;14
PAS LAMIA 1964;AEK ATHENS;0;0;-1;NG;;-1;96;1;15
AE LARISA;PANIONIOS;2;0;18;AE LARISA;;18;;1;15
PANETOLIKOS;OFI CRETE;2;0;78;PANETOLIKOS;0;78;;1;15
VOLOS NFC;OLYMPIACOS;0;0;-1;NG;;-1;101;1;15
PANATHINAIKOS;ARIS THESSALONIKI;0;0;-1;NG;;-1;94;1;16
PAOK ;ATROMITOS ATHENS;5;1;13;PAOK;;13;;1;16
OFI CRETE;VOLOS NFC;1;2;35;VOLOS NFC;;35;;1;16
ARIS THESSALONIKI;PAOK;4;2;10;PAOK;;10;;1;16
ATROMITOS ATHENS;ASTERAS TRIPOLIS;2;1;76;ATROMITOS ATHENS;2;78;;1;16
AEK ATHENS;PANETOLIKOS;3;1;29;AEK ATHENS;;29;;1;16
PANIONIOS;PAS LAMIA 1964;0;1;11;PAS LAMIA 1964;;11;;1;16
XANTHI;AE LARISA;2;1;64;AE LARISA;1;65;;1;16
OLYMPIACOS;PANATHINAIKOS;1;0;74;OLYMPIACOS;2;76;;1;16
VOLOS NFC;XANTHI;1;3;41;XANTHI;;41;;1;16
AE LARISA;ARIS THESSALONIKI;0;0;-1;NG;;-1;97;1;17
PANETOLIKOS;ATROMITOS ATHENS;0;1;94;ATROMITOS ATHENS;1;95;;1;17
ASTERAS TRIPOLIS;OFI CRETE;2;0;48;ASTERAS TRIPOLIS;;48;;1;17
PAS LAMIA 1964;OLYMPIACOS;0;4;40;OLYMPIACOS;;40;;1;17
PANATHINAIKOS;PANIONIOS;3;0;14;PANATHINAIKOS;;14;;1;17
PAOK ;AEK ATHENS;1;0;57;PAOK;2;59;;1;18
PANIONIOS;OFI CRETE;1;2;8;OFI CRETE;;8;;1;18
PANETOLIKOS;PAS LAMIA 1964;1;1;43;PAS LAMIA 1964;;43;;1;18
XANTHI;PANATHINAIKOS;0;1;50;PANATHINAIKOS;1;51;;1;18
ATROMITOS ATHENS;VOLOS NFC;0;0;-1;NG;;-1;95;1;18
AEK ATHENS;AE LARISA;3;0;47;AEK ATHENS;;47;;1;18
PAOK ;ASTERAS TRIPOLIS;3;1;29;PAOK;;29;;1;18
OLYMPIACOS;ARIS THESSALONIKI;4;2;22;OLYMPIACOS;;22;;1;18
AE LARISA;PANETOLIKOS;2;2;28;PANETOLIKOS;;28;;1;18
VOLOS NFC;AEK ATHENS;1;3;9;AEK ATHENS;;9;;1;18
OFI CRETE;OLYMPIACOS;0;1;46;OLYMPIACOS;;46;;1;18
PANATHINAIKOS;ATROMITOS ATHENS;3;0;4;PANATHINAIKOS;;4;;1;18
ASTERAS TRIPOLIS;PANIONIOS;2;0;35;PANIONIOS;;35;;1;18
PAS LAMIA 1964;PAOK;0;1;33;PAOK;;33;;1;18
ARIS THESSALONIKI;XANTHI;1;0;59;ARIS THESSALONIKI;1;60;;1;19
AE LARISA;PANATHINAIKOS;0;2;25;PANATHINAIKOS;;25;;1;19
XANTHI;OFI CRETE;2;2;38;OFI CRETE;;38;;1;19
PANIONIOS;ATROMITOS ATHENS;1;0;76;PANIONIOS;1;77;;1;19
PANETOLIKOS;ARIS THESSALONIKI;2;0;58;PANETOLIKOS;2;60;;1;19
AEK ATHENS;OLYMPIACOS;0;0;-1;NG;;-1;96;1;19
PAOK ;VOLOS NFC;1;0;60;PAOK;2;62;;1;19
PAS LAMIA 1964;ASTERAS TRIPOLIS;1;1;64;PAS LAMIA 1964;1;65;;1;20
VOLOS NFC;PAS LAMIA 1964;1;0;49;VOLOS NFC;3;52;;1;20
OFI CRETE;AE LARISA;0;0;-1;NG;;-1;98;1;20
OLYMPIACOS;XANTHI;3;1;5;OLYMPIACOS;;5;;1;20
ARIS THESSALONIKI;PANIONIOS;2;0;31;ARIS THESSALONIKI;;31;;1;20
ASTERAS TRIPOLIS;PANETOLIKOS;2;1;51;ASTERAS TRIPOLIS;3;54;;1;20
ATROMITOS ATHENS;AEK ATHENS;0;1;65;AEK ATHENS;1;66;;1;20
PANATHINAIKOS;PAOK;2;0;45;PANATHINAIKOS;;45;;1;20
PANIONIOS;XANTHI;0;0;-1;NG;;-1;97;1;21
PAS LAMIA 1964;AE LARISA;0;0;-1;NG;;-1;94;1;21
ASTERAS TRIPOLIS;ARIS THESSALONIKI;1;1;13;ARIS THESSALONIKI;;13;;1;21
ATROMITOS ATHENS;OLYMPIACOS;0;1;91;OLYMPIACOS;2;93;;1;22
PAOK ;OFI CRETE;4;0;50;PAOK;3;53;;1;22
AEK ATHENS;PANATHINAIKOS;1;0;8;AEK ATHENS;;8;;1;22
PANETOLIKOS;VOLOS NFC;1;1;42;PANETOLIKOS;;42;;1;22
AE LARISA;PAOK;1;2;14;PAOK;;14;;1;23
OLYMPIACOS;PANIONIOS;4;0;4;OLYMPIACOS;;4;;1;23
PANATHINAIKOS;PANETOLIKOS;3;1;23;PANATHINAIKOS;;23;;1;23
VOLOS NFC;ASTERAS TRIPOLIS;0;1;85;ASTERAS TRIPOLIS;0;85;;1;24
XANTHI;PAS LAMIA 1964;0;0;-1;NG;;-1;97;1;24
ARIS THESSALONIKI;AEK ATHENS;0;1;5;AEK ATHENS;;5;;1;24
OFI CRETE;ATROMITOS ATHENS;1;0;82;OFI CRETE;2;84;;1;24
ASTERAS TRIPOLIS;PANATHINAIKOS;1;1;51;PANATHINAIKOS;1;52;;1;24
PAS LAMIA 1964;ARIS THESSALONIKI;2;2;24;PAS LAMIA 1964;;24;;1;24
PANETOLIKOS;PANIONIOS;1;0;53;PANETOLIKOS;1;54;;1;24
VOLOS NFC;AE LARISA;0;0;-1;NG;;-1;96;1;24
ATROMITOS ATHENS;XANTHI;1;0;29;ATROMITOS ATHENS;;29;;1;25
AEK ATHENS;OFI CRETE;3;0;5;AEK ATHENS;;5;;1;25
PAOK ;OLYMPIACOS;0;1;49;OLYMPIACOS;2;51;;1;25
AE LARISA;ASTERAS TRIPOLIS;3;0;18;AE LARISA;;18;;1;25
OFI CRETE;PAS LAMIA 1964;3;0;2;OFI CRETE;;2;;1;26
ARIS THESSALONIKI;ATROMITOS ATHENS;1;2;49;ARIS THESSALONIKI;0;49;;1;26
PANATHINAIKOS;VOLOS NFC;4;1;3;PANATHINAIKOS;;3;;1;27
PANIONIOS;AEK ATHENS;1;1;47;PANIONIOS;;47;;1;27
XANTHI;PAOK;1;1;4;PAOK;;4;;1;27
OLYMPIACOS;PANETOLIKOS;2;0;60;OLYMPIACOS;6;66;;1;27
ARIS THESSALONIKI;OFI CRETE;3;1;21;OFI CRETE;;21;;1;27
AE LARISA;ASTERAS TRIPOLIS;1;2;42;ASTERAS TRIPOLIS;;42;;1;27
PAOK ;OLYMPIACOS;0;1;24;OLYMPIACOS;;24;;1;27
AEK ATHENS;PANATHINAIKOS;1;1;65;PANATHINAIKOS;3;68;;1;27
PAS LAMIA 1964;PANETOLIKOS;2;0;29;PAS LAMIA 1964;;29;;1;28
VOLOS NFC;XANTHI;1;0;48;VOLOS NFC;;48;;1;28
ATROMITOS ATHENS;PAS LAMIA 1964;1;1;43;PAS LAMIA 1964;;43;;1;28
PANATHINAIKOS;PAOK;0;0;-1;NG;;-1;97;1;28
OFI CRETE;AEK ATHENS;0;2;42;AEK ATHENS;;42;;1;29
OLYMPIACOS;ARIS THESSALONIKI;3;1;27;OLYMPIACOS;;27;;1;29
ASTERAS TRIPOLIS;PANIONIOS;0;0;-1;NG;;-1;97;1;29
PANETOLIKOS;AE LARISA;3;0;53;PANETOLIKOS;2;55;;1;29
PAOK ;OFI CRETE;3;1;49;OFI CRETE;2;51;;1;29
AEK ATHENS;ARIS THESSALONIKI;2;2;55;ARIS THESSALONIKI;7;62;;1;29
ASTERAS TRIPOLIS;ATROMITOS ATHENS;1;1;34;ASTERAS TRIPOLIS;;34;;1;29
XANTHI;PANETOLIKOS;1;1;62;XANTHI;2;64;;1;29
OLYMPIACOS;PANATHINAIKOS;3;0;5;OLYMPIACOS;;5;;1;29
AE LARISA;VOLOS NFC;3;1;15;VOLOS NFC;;15;;1;29
PAS LAMIA 1964;PANIONIOS;0;1;27;PANIONIOS;;27;;1;30
XANTHI;ATROMITOS ATHENS;1;0;77;XANTHI;2;79;;1;30
PANIONIOS;XANTHI;2;1;30;PANIONIOS;;30;;1;30
OFI CRETE;PANATHINAIKOS;0;0;-1;NG;;-1;99;1;30
ARIS THESSALONIKI;PAOK;0;2;36;PAOK;;36;;1;31
PANETOLIKOS;ASTERAS TRIPOLIS;1;1;11;ASTERAS TRIPOLIS;;11;;1;31
AEK ATHENS;OLYMPIACOS;1;2;38;OLYMPIACOS;;38;;1;31
VOLOS NFC;PAS LAMIA 1964;0;0;-1;NG;;-1;94;1;31
ATROMITOS ATHENS;AE LARISA;3;0;9;ATROMITOS ATHENS;;9;;1;31
PANATHINAIKOS;ARIS THESSALONIKI;2;0;41;PANATHINAIKOS;;41;;1;31
PAOK ;AEK ATHENS;0;2;42;AEK ATHENS;;42;;1;32
OLYMPIACOS;OFI CRETE;2;1;27;OLYMPIACOS;;27;;1;32
ASTERAS TRIPOLIS;VOLOS NFC;4;0;2;ASTERAS TRIPOLIS;;2;;1;33
OFI CRETE;PAOK;2;2;5;PAOK;;5;;1;33
ARIS THESSALONIKI;AEK ATHENS;1;4;24;AEK ATHENS;;24;;1;33
PANATHINAIKOS;OLYMPIACOS;0;0;-1;NG;;-1;98;1;33
PAS LAMIA 1964;XANTHI;0;0;-1;NG;;-1;97;1;33
AE LARISA;PANIONIOS;0;0;-1;NG;;-1;98;1;33
ATROMITOS ATHENS;PANETOLIKOS;2;2;18;ATROMITOS ATHENS;;18;;1;33
ARIS THESSALONIKI;OLYMPIACOS;2;4;34;OLYMPIACOS;;34;;1;33
PAOK ;PANATHINAIKOS;0;0;-1;NG;;-1;98;1;33
AEK ATHENS;OFI CRETE;2;0;19;AEK ATHENS;;19;;1;34
PANIONIOS;PANETOLIKOS;0;2;40;PANETOLIKOS;;40;;1;34
XANTHI;ASTERAS TRIPOLIS;1;2;6;ASTERAS TRIPOLIS;;6;;1;34
PAS LAMIA 1964;AE LARISA;0;0;-1;NG;;-1;97;1;34
VOLOS NFC;ATROMITOS ATHENS;2;3;8;ATROMITOS ATHENS;;8;;1;34
OFI CRETE;ARIS THESSALONIKI;0;1;14;ARIS THESSALONIKI;;14;;1;35
PANATHINAIKOS;AEK ATHENS;1;3;8;AEK ATHENS;;8;;1;35
OLYMPIACOS;PAOK;0;1;90;PAOK;3;93;;1;35
ARIS THESSALONIKI;PANATHINAIKOS;0;1;75;PANATHINAIKOS;6;81;;1;35
OFI CRETE;OLYMPIACOS;1;3;10;OLYMPIACOS;;10;;1;35
AEK ATHENS;PAOK;0;0;-1;NG;;-1;101;1;35
PANETOLIKOS;VOLOS NFC;1;0;31;PANETOLIKOS;;31;;1;36
AE LARISA;XANTHI;0;0;-1;NG;;-1;97;1;36
