Home Team;Away Team;Home Goals;Away Goals;Time of first goal;Team that scored first goal;1st Half Stoppage Time;Total Time;Scoreless Time;E;T
ASTERAS TRIPOLIS;PAS LAMIA 1964;1;1;18;ASTERAS TRIPOLIS;;18;;1;36
ATROMITOS ATHENS;PANIONIOS;0;0;-1;NG;;-1;97;1;36
PANATHINAIKOS;OFI CRETE;3;2;27;PANATHINAIKOS;;27;;1;36
PAOK ;ARIS THESSALONIKI;0;0;-1;NG;;-1;97;1;37
OLYMPIACOS;AEK ATHENS;3;0;10;OLYMPIACOS;;10;;1;37
ARIS THESSALONIKI;PAS LAMIA 1964;3;1;38;PAS LAMIA 1964;;38;;1;37
PAOK ;AE LARISA;1;0;16;PAOK;;16;;1;37
OFI CRETE;PANETOLIKOS;1;1;50;PANETOLIKOS;;50;;1;37
ATROMITOS ATHENS;VOLOS NFC;0;2;77;VOLOS NFC;4;81;;1;37
ASTERAS TRIPOLIS;PANATHINAIKOS;1;0;73;ASTERAS TRIPOLIS;1;74;;1;37
PAOK ;ATROMITOS ATHENS;1;1;57;PAOK;3;60;;1;38
OLYMPIACOS;ASTERAS TRIPOLIS;3;0;59;OLYMPIACOS;2;61;;1;38
PANETOLIKOS;AEK ATHENS;0;2;68;AEK ATHENS;3;71;;1;38
PAS LAMIA 1964;OFI CRETE;1;2;35;OFI CRETE;;35;;1;38
VOLOS NFC;ARIS THESSALONIKI;0;1;16;ARIS THESSALONIKI;;16;;1;38
VOLOS NFC;PAOK;0;0;-1;NG;;-1;97;1;38
OLYMPIACOS;PANETOLIKOS;2;0;48;OLYMPIACOS;0;48;;1;39
ARIS THESSALONIKI;PAS GIANNINA;2;2;15;PAS GIANNINA;;15;;1;39
OFI CRETE;ATROMITOS ATHENS;2;2;50;ATROMITOS ATHENS;;50;;1;39
AEK ATHENS;PAS LAMIA 1964;3;0;14;AEK ATHENS;;14;;1;39
AE LARISA;PANATHINAIKOS;1;1;26;PANATHINAIKOS;;26;;1;39
PANETOLIKOS;ASTERAS TRIPOLIS;1;1;46;ASTERAS TRIPOLIS;;46;;1;39
PANATHINAIKOS;ARIS THESSALONIKI;0;1;25;ARIS THESSALONIKI;;25;;1;39
APOLLON SMYRNIS;AE LARISA;1;0;91;APOLLON SMYRNIS;3;94;;1;40
PAOK ;OFI CRETE;3;0;8;PAOK;;8;;1;40
PAS GIANNINA ;OLYMPIACOS;1;1;5;PAS GIANNINA;;5;;1;40
ATROMITOS ATHENS;AEK ATHENS;1;0;24;ATROMITOS ATHENS;;24;;1;40
PAS LAMIA 1964;VOLOS NFC;1;2;25;VOLOS NFC;;25;;1;40
VOLOS NFC;PAS GIANNINA;2;1;3;PAS GIANNINA;;3;;1;40
ARIS THESSALONIKI;APOLLON SMYRNIS;1;0;35;ARIS THESSALONIKI;;35;;1;41
OLYMPIACOS;ATROMITOS ATHENS;4;0;53;OLYMPIACOS;3;56;;1;41
OFI CRETE;PANATHINAIKOS;2;2;37;OFI CRETE;;37;;1;41
AE LARISA;ASTERAS TRIPOLIS;1;3;42;ASTERAS TRIPOLIS;;42;;1;41
AEK ATHENS;PAOK;1;1;23;AEK ATHENS;;23;;1;41
PAS LAMIA 1964;PANETOLIKOS;0;0;-1;NG;;-1;97;1;42
APOLLON SMYRNIS;PAS GIANNINA;1;2;44;PAS GIANNINA;;44;;1;42
PANATHINAIKOS;VOLOS NFC;1;1;56;PANATHINAIKOS;1;57;;1;42
ASTERAS TRIPOLIS;OFI CRETE;1;0;73;ASTERAS TRIPOLIS;3;76;;1;42
PAS GIANNINA ;AEK ATHENS;0;1;16;AEK ATHENS;;16;;1;42
ATROMITOS ATHENS;PANETOLIKOS;2;0;14;ATROMITOS ATHENS;;14;;1;42
OLYMPIACOS;APOLLON SMYRNIS;2;0;66;OLYMPIACOS;2;68;;1;42
VOLOS NFC;AE LARISA;1;1;51;AE LARISA;2;53;;1;43
ATROMITOS ATHENS;PAS GIANNINA;0;2;37;PAS GIANNINA;;37;;1;43
PAS LAMIA 1964;PANATHINAIKOS;0;2;8;PANATHINAIKOS;;8;;1;43
ARIS THESSALONIKI;ASTERAS TRIPOLIS;1;0;56;ARIS THESSALONIKI;1;57;;1;43
PANETOLIKOS;PAOK;1;3;18;PAOK;;18;;1;44
AEK ATHENS;OFI CRETE;2;1;6;OFI CRETE;;6;;1;44
PANATHINAIKOS;APOLLON SMYRNIS;1;0;27;PANATHINAIKOS;;27;;1;44
PAS GIANNINA ;AE LARISA;1;2;61;PAS GIANNINA;0;61;;1;44
PAS GIANNINA ;PANETOLIKOS;0;0;-1;NG;;-1;94;1;44
PANATHINAIKOS;ATROMITOS ATHENS;0;1;88;ATROMITOS ATHENS;1;89;;1;44
OFI CRETE;OLYMPIACOS;0;2;51;OLYMPIACOS;5;56;;1;45
APOLLON SMYRNIS;PAOK;1;3;15;PAOK;;15;;1;46
PAS LAMIA 1964;ASTERAS TRIPOLIS;2;2;41;ASTERAS TRIPOLIS;;41;;1;46
ATROMITOS ATHENS;APOLLON SMYRNIS;2;2;4;APOLLON SMYRNIS;;4;;1;47
OLYMPIACOS;PANATHINAIKOS;1;0;22;OLYMPIACOS;;22;;1;47
AEK ATHENS;AE LARISA;4;1;55;AEK ATHENS;3;58;;1;47
PANETOLIKOS;ARIS THESSALONIKI;0;1;18;ARIS THESSALONIKI;;18;;1;47
PAOK ;PAS GIANNINA;2;1;31;PAS GIANNINA;;31;;1;47
VOLOS NFC;OFI CRETE;1;4;39;OFI CRETE;;39;;1;48
ASTERAS TRIPOLIS;APOLLON SMYRNIS;0;0;-1;NG;;-1;94;1;48
AE LARISA;ATROMITOS ATHENS;0;0;-1;NG;;-1;94;1;48
ARIS THESSALONIKI;OLYMPIACOS;1;2;29;OLYMPIACOS;;29;;1;48
PANATHINAIKOS;PANETOLIKOS;2;1;19;PANATHINAIKOS;;19;;1;49
OFI CRETE;PAS GIANNINA;2;1;21;OFI CRETE;;21;;1;49
PAS LAMIA 1964;PAOK;0;2;12;PAOK;;12;;1;50
ASTERAS TRIPOLIS;AEK ATHENS;1;2;13;AEK ATHENS;;13;;1;50
APOLLON SMYRNIS;VOLOS NFC;3;3;47;APOLLON SMYRNIS;;47;;1;50
AE LARISA;ARIS THESSALONIKI;0;3;18;ARIS THESSALONIKI;;18;;1;50
ATROMITOS ATHENS;ARIS THESSALONIKI;2;2;37;ATROMITOS ATHENS;;37;;1;50
OLYMPIACOS;VOLOS NFC;4;1;11;VOLOS NFC;;11;;1;51
OFI CRETE;APOLLON SMYRNIS;0;2;3;APOLLON SMYRNIS;;3;;1;51
PAS GIANNINA ;PAS LAMIA 1964;2;0;30;PAS GIANNINA;;30;;1;51
PAOK ;ASTERAS TRIPOLIS;2;0;64;PAOK;4;68;;1;51
AEK ATHENS;PANATHINAIKOS;1;2;34;PANATHINAIKOS;;34;;1;51
PANETOLIKOS;AE LARISA;2;1;16;PANETOLIKOS;;16;;1;52
ASTERAS TRIPOLIS;VOLOS NFC;1;1;24;ASTERAS TRIPOLIS;;24;;1;52
AE LARISA;OFI CRETE;0;1;58;OFI CRETE;0;58;;1;52
PANATHINAIKOS;PAS GIANNINA;2;0;33;PANATHINAIKOS;;33;;1;52
PAS LAMIA 1964;OLYMPIACOS;0;6;13;OLYMPIACOS;;13;;1;52
VOLOS NFC;PANETOLIKOS;0;0;-1;NG;;-1;97;1;53
APOLLON SMYRNIS;AEK ATHENS;3;4;6;AEK ATHENS;;6;;1;53
ARIS THESSALONIKI;PAOK;1;0;40;ARIS THESSALONIKI;;40;;1;53
ASTERAS TRIPOLIS;ATROMITOS ATHENS;2;0;29;ASTERAS TRIPOLIS;;29;;1;54
AEK ATHENS;OLYMPIACOS;1;1;57;OLYMPIACOS;1;58;;1;54
PANETOLIKOS;APOLLON SMYRNIS;0;1;37;APOLLON SMYRNIS;;37;;1;54
OFI CRETE;ARIS THESSALONIKI;0;3;29;ARIS THESSALONIKI;;29;;1;55
OLYMPIACOS;AE LARISA;5;1;25;OLYMPIACOS;;25;;1;55
PAOK ;PANATHINAIKOS;2;1;11;PAOK;;11;;1;55
PAS GIANNINA ;ASTERAS TRIPOLIS;2;2;23;PAS GIANNINA;;23;;1;55
AEK ATHENS;VOLOS NFC;2;2;3;AEK ATHENS;;3;;1;55
PANETOLIKOS;OFI CRETE;2;1;55;OFI CRETE;1;56;;1;55
PANATHINAIKOS;ASTERAS TRIPOLIS;0;0;-1;NG;;-1;93;1;56
PAS GIANNINA ;APOLLON SMYRNIS;1;3;7;PAS GIANNINA;;7;;1;56
AE LARISA;PAOK;1;1;70;AE LARISA;1;71;;1;56
OLYMPIACOS;AEK ATHENS;3;0;14;OLYMPIACOS;;14;;1;56
VOLOS NFC;ATROMITOS ATHENS;1;0;36;VOLOS NFC;;36;;1;56
PAS LAMIA 1964;ARIS THESSALONIKI;2;0;9;PAS LAMIA 1964;;9;;1;56
APOLLON SMYRNIS;PANATHINAIKOS;0;1;20;PANATHINAIKOS;;20;;1;56
AE LARISA;PAS GIANNINA;0;0;-1;NG;;-1;94;1;57
AEK ATHENS;PANETOLIKOS;1;0;40;AEK ATHENS;;40;;1;57
ASTERAS TRIPOLIS;OLYMPIACOS;0;4;35;OLYMPIACOS;;35;;1;58
OFI CRETE;PAS LAMIA 1964;2;0;34;OFI CRETE;;34;;1;58
ARIS THESSALONIKI;VOLOS NFC;2;0;18;ARIS THESSALONIKI;;18;;1;58
ATROMITOS ATHENS;PAOK ;3;2;22;PAOK;;22;;1;58
PANETOLIKOS;OLYMPIACOS;1;2;4;OLYMPIACOS;;4;;1;58
PAOK ;VOLOS NFC;3;1;11;VOLOS NFC;;11;;1;58
APOLLON SMYRNIS;ASTERAS TRIPOLIS;0;1;20;ASTERAS TRIPOLIS;;20;;1;59
ATROMITOS ATHENS;OFI CRETE;0;0;-1;NG;;-1;96;1;59
PANATHINAIKOS;AE LARISA;2;0;36;PANATHINAIKOS;;36;;1;60
PAS GIANNINA ;ARIS THESSALONIKI;0;0;-1;NG;;-1;96;1;60
PAS LAMIA 1964;AEK ATHENS;0;1;9;AEK ATHENS;;9;;1;60
PAOK ;OLYMPIACOS;1;1;51;PAOK;1;52;;1;60
ATROMITOS ATHENS;PAS LAMIA 1964;2;1;9;PAS LAMIA 1964;;9;;1;60
ARIS THESSALONIKI;AEK ATHENS;0;1;65;AEK ATHENS;2;67;;1;61
ASTERAS TRIPOLIS;PANETOLIKOS;2;0;7;ASTERAS TRIPOLIS;;7;;1;61
AE LARISA;APOLLON SMYRNIS;0;1;73;APOLLON SMYRNIS;2;75;;1;61
OLYMPIACOS;PAS GIANNINA;1;0;94;PAS GIANNINA;1;95;;1;62
VOLOS NFC;PAS LAMIA 1964;1;1;51;VOLOS NFC;1;52;;1;62
OFI CRETE;PAOK;0;3;48;PAOK;7;55;;1;63
ARIS THESSALONIKI;PANATHINAIKOS;0;1;9;PANATHINAIKOS;;9;;1;64
AEK ATHENS;ATROMITOS ATHENS;2;1;63;AEK ATHENS;2;65;;1;65
ASTERAS TRIPOLIS;AE LARISA;1;0;60;ASTERAS TRIPOLIS;0;60;;1;65
APOLLON SMYRNIS;ARIS THESSALONIKI;0;1;19;ARIS THESSALONIKI;;19;;1;65
PANATHINAIKOS;OFI CRETE;2;0;32;PANATHINAIKOS;;32;;1;65
ATROMITOS ATHENS;OLYMPIACOS;0;1;47;OLYMPIACOS;;47;;1;66
PANETOLIKOS;PAS LAMIA 1964;0;0;-1;NG;;-1;94;1;66
PAS GIANNINA ;VOLOS NFC;0;1;14;VOLOS NFC;;14;;1;66
PAOK ;AEK ATHENS;2;2;18;AEK ATHENS;;18;;1;67
OFI CRETE;ASTERAS TRIPOLIS;0;1;15;ASTERAS TRIPOLIS;;15;;1;68
ARIS THESSALONIKI;AE LARISA;1;0;30;ARIS THESSALONIKI;;30;;1;68
VOLOS NFC;PANATHINAIKOS;0;2;42;PANATHINAIKOS;;42;;1;68
PAS LAMIA 1964;APOLLON SMYRNIS;1;0;13;PAS LAMIA 1964;;13;;1;68
AEK ATHENS;PAS GIANNINA;0;2;33;PAS GIANNINA;;33;;1;68
OLYMPIACOS;PAOK;3;0;51;OLYMPIACOS;0;51;;1;69
PANETOLIKOS;ATROMITOS ATHENS;1;1;54;ATROMITOS ATHENS;1;55;;1;69
AE LARISA;VOLOS NFC;0;0;-1;NG;;-1;95;1;69
ASTERAS TRIPOLIS;ARIS THESSALONIKI;2;1;28;ARIS THESSALONIKI;;28;;1;69
PANATHINAIKOS;PAS LAMIA 1964;0;0;-1;NG;;-1;98;1;70
OFI CRETE;AEK ATHENS;0;2;43;AEK ATHENS;;43;;1;70
PAS GIANNINA ;ATROMITOS ATHENS;0;1;5;ATROMITOS ATHENS;;5;;1;71
PAOK ;PANETOLIKOS;5;0;39;PAOK;;39;;1;71
APOLLON SMYRNIS;OLYMPIACOS;1;3;31;OLYMPIACOS;;31;;1;72
ATROMITOS ATHENS;PANATHINAIKOS;2;3;10;PANATHINAIKOS;;10;;1;73
PAOK;APOLLON SMYRNIS;2;2;29;PAOK;;29;;1;74
VOLOS NFC;ASTERAS TRIPOLIS;0;1;28;ASTERAS TRIPOLIS;;28;;1;75
OLYMPIACOS;OFI CRETE;3;0;20;OLYMPIACOS;;20;;1;75
AEK ATHENS;ARIS THESSALONIKI;0;2;29;ARIS THESSALONIKI;;29;;1;76
PANETOLIKOS;PAS GIANNINA;1;2;16;PANETOLIKOS;;16;;1;76
ASTERAS TRIPOLIS;PAS LAMIA 1964;0;0;-1;NG;;-1;97;1;76
APOLLON SMYRNIS;ATROMITOS ATHENS;2;1;42;APOLLON SMYRNIS;;42;;1;77
ARIS THESSALONIKI;PANETOLIKOS;0;0;-1;NG;;-1;95;1;77
OFI CRETE;VOLOS NFC;1;2;3;VOLOS NFC;;3;;1;78
PANATHINAIKOS;OLYMPIACOS;2;1;6;PANATHINAIKOS;;6;;1;78
AE LARISA;AEK ATHENS;2;4;14;AEK ATHENS;;14;;1;79
PAS GIANNINA ;PAOK;0;2;56;PAOK;2;58;;1;81
APOLLON SMYRNIS;PAS LAMIA 1964;0;1;33;PAS LAMIA 1964;;33;;1;81
ATROMITOS ATHENS;AE LARISA;1;1;44;AE LARISA;;44;;1;81
AEK ATHENS;ASTERAS TRIPOLIS;2;2;16;ASTERAS TRIPOLIS;;16;;1;82
VOLOS NFC;APOLLON SMYRNIS;2;0;34;VOLOS NFC;;34;;1;84
PAOK;PAS LAMIA 1964;4;0;18;PAOK;;18;;1;84
PAS GIANNINA ;OFI CRETE;1;0;4;PAS GIANNINA;;4;;1;85
OLYMPIACOS;ARIS THESSALONIKI;1;1;40;OLYMPIACOS;;40;;1;85
PANETOLIKOS;PANATHINAIKOS;1;0;6;PANETOLIKOS;;6;;1;86
AE LARISA;PAS LAMIA 1964;0;1;41;PAS LAMIA 1964;;41;;1;86
APOLLON SMYRNIS;OFI CRETE;2;1;17;APOLLON SMYRNIS;;17;;1;89
ASTERAS TRIPOLIS;PAOK;2;1;37;ASTERAS TRIPOLIS;;37;;0;93
ARIS THESSALONIKI;ATROMITOS ATHENS;3;0;22;ARIS THESSALONIKI;;22;;1;93
AE LARISA;PANETOLIKOS;1;0;37;AE LARISA;;37;;1;93
PAS LAMIA 1964;PAS GIANNINA;0;0;-1;NG;;-1;94;0;93
PANATHINAIKOS;AEK ATHENS;1;1;58;PANATHINAIKOS;1;59;;0;93
VOLOS NFC;OLYMPIACOS;1;2;4;OLYMPIACOS;;4;;0;93
OFI CRETE;AE LARISA;2;3;2;OFI CRETE;;2;;0;94
ATROMITOS ATHENS;ASTERAS TRIPOLIS;1;1;19;ATROMITOS ATHENS;;19;;0;94
PAS GIANNINA ;PANATHINAIKOS;1;0;19;PAS GIANNINA;;19;;0;94
OLYMPIACOS;PAS LAMIA 1964;3;0;8;OLYMPIACOS;;8;;0;94
PANETOLIKOS;VOLOS NFC;1;0;75;PANETOLIKOS;0;75;;0;94
PAOK ;ARIS THESSALONIKI;2;2;26;ARIS THESSALONIKI;;26;;1;94
AEK ATHENS;APOLLON SMYRNIS;2;0;7;AEK ATHENS;;7;;0;94
PAS LAMIA 1964;AE LARISA;2;1;33;PAS LAMIA 1964;;33;;0;94
APOLLON SMYRNIS;PANETOLIKOS;1;0;64;APOLLON SMYRNIS;1;65;;0;94
ASTERAS TRIPOLIS;PAS GIANNINA;0;1;85;PAS GIANNINA;1;86;;0;94
PAS LAMIA 1964;ATROMITOS ATHENS;0;0;-1;NG;;-1;94;0;94
ARIS THESSALONIKI;OFI CRETE;1;0;6;ARIS THESSALONIKI;;6;;0;94
VOLOS NFC;AEK ATHENS;1;0;49;VOLOS NFC;;49;;0;94
PANATHINAIKOS;PAOK;2;1;39;PANATHINAIKOS;;39;;0;94
AE LARISA;OLYMPIACOS;1;3;33;OLYMPIACOS;;33;;0;95
APOLLON SMYRNIS;AE LARISA;0;2;67;AE LARISA;2;69;;0;95
VOLOS NFC;OFI CRETE;0;0;-1;NG;;-1;94;1;95
PANETOLIKOS;PAS LAMIA 1964;0;3;24;PAS LAMIA 1964;;24;;0;95
PAS GIANNINA ;ATROMITOS ATHENS;1;0;32;PAS GIANNINA;;32;;1;95
ASTERAS TRIPOLIS;PANATHINAIKOS;2;2;58;PANATHINAIKOS;0;58;;0;95
OLYMPIACOS;ARIS THESSALONIKI;1;0;38;OLYMPIACOS;;38;;0;95
PAOK;AEK ATHENS;3;1;3;PAOK;;3;;0;95
ATROMITOS ATHENS;APOLLON SMYRNIS;1;1;49;APOLLON SMYRNIS;1;50;;1;96
OFI CRETE;PAS GIANNINA;2;1;47;PAS GIANNINA;;47;;0;96
AE LARISA;PANETOLIKOS;1;1;44;AE LARISA;;44;;0;96
PAS LAMIA 1964;VOLOS NFC;1;1;85;VOLOS NFC;0;85;;0;96
PANATHINAIKOS;PAOK;3;0;39;PANATHINAIKOS;;39;;0;96
ARIS THESSALONIKI;ASTERAS TRIPOLIS;2;0;69;ARIS THESSALONIKI;0;69;;0;96
AEK ATHENS;OLYMPIACOS;1;5;17;OLYMPIACOS;;17;;0;96
VOLOS NFC;PANETOLIKOS;3;1;3;VOLOS NFC;;3;;0;96
APOLLON SMYRNIS;OFI CRETE;0;0;-1;NG;;-1;93;0;97
ATROMITOS ATHENS;AE LARISA;0;1;41;AE LARISA;;41;;0;97
ARIS THESSALONIKI;AEK ATHENS;1;3;12;AEK ATHENS;;12;;0;97
ASTERAS TRIPOLIS;PAOK;1;1;56;PAOK;2;58;;0;97
OLYMPIACOS;PANATHINAIKOS;3;1;31;PANATHINAIKOS;;31;;0;97
PAS GIANNINA ;PAS LAMIA 1964;1;2;10;PAS GIANNINA;;10;;0;97
OFI CRETE;ATROMITOS ATHENS;1;1;68;OFI CRETE;2;70;;0;97
PANETOLIKOS;APOLLON SMYRNIS;1;0;84;PANETOLIKOS;2;86;;0;97
VOLOS NFC;PAS GIANNINA;1;1;4;VOLOS NFC;;4;;0;97
PANATHINAIKOS;ARIS THESSALONIKI;1;2;31;PANATHINAIKOS;;31;;0;97
AEK ATHENS;ASTERAS TRIPOLIS;3;1;39;AEK ATHENS;;39;;0;97
PAOK;OLYMPIACOS;2;0;49;PAOK;1;50;;0;97
PAS LAMIA 1964;AE LARISA;0;0;-1;NG;;-1;95;0;97
OLYMPIACOS;ASTERAS TRIPOLIS;1;0;52;OLYMPIACOS;2;54;;0;97
ARIS THESSALONIKI;PAOK;0;1;6;PAOK;;6;;0;97
AEK ATHENS;PANATHINAIKOS;1;1;36;PANATHINAIKOS;;36;;0;98
PAS GIANNINA ;PANETOLIKOS;0;1;20;PANETOLIKOS;;20;;0;98
AE LARISA;OFI CRETE;0;1;33;OFI CRETE;;33;;0;98
ATROMITOS ATHENS;PAS LAMIA 1964;0;0;-1;NG;;-1;97;0;98
PAOK;PANATHINAIKOS;0;0;-1;NG;;-1;96;0;98
ASTERAS TRIPOLIS;ARIS THESSALONIKI;1;1;74;ARIS THESSALONIKI;2;76;;0;99
OLYMPIACOS;AEK ATHENS;2;0;50;OLYMPIACOS;2;52;;0;101
APOLLON SMYRNIS;VOLOS NFC;0;0;-1;NG;;-1;93;0;101
